type;name;01.01.2015;01.02.2015;01.03.2015;01.04.2015;01.05.2015;01.06.2015;01.07.2015;01.08.2015;01.09.2015;01.10.2015;01.11.2015;01.12.2015;01.01.2016;01.02.2016;01.03.2016;01.04.2016;01.05.2016;01.06.2016;01.07.2016;01.08.2016;01.09.2016;01.10.2016;01.11.2016;01.12.2016;01.01.2017;01.02.2017;01.03.2017;01.04.2017;01.05.2017;01.06.2017;01.07.2017;01.08.2017;01.09.2017;01.10.2017;01.11.2017;01.12.2017;01.01.2018;01.02.2018;01.03.2018;01.04.2018;01.05.2018;01.06.2018;01.07.2018;01.08.2018;01.09.2018;01.10.2018;01.11.2018;01.12.2018;01.01.2019;01.02.2019;01.03.2019;01.04.2019;01.05.2019;01.06.2019;01.07.2019;01.08.2019;01.09.2019;01.10.2019;01.11.2019;01.12.2019;01.01.2020;01.02.2020;01.03.2020;01.04.2020;01.05.2020;01.06.2020;01.07.2020;01.08.2020
G;135;79.6559;77.0147;74.1972;83.8074;82.5561;82.459;80.5671;78.6591;74.8764;79.4442;79.725;78.8152;77.6933;76.7501;76.7595;75.3242;91.157;89.0068;87.1368;86.0114;85.69075;85.3449;84.6889;84.3854;81.66235;79.66995;79.2727;89.919;89.4503;88.88895;85.95825;84.3822;83.2179;82.51505;81.6924;80.6382;79.0284;78.37805;77.9078;89.91755;88.56845;87.6746;86.37615;85.9166;85.1198;84.4088;83.6353;82.08595;80.16095;78.6693;77.568;90.5254;89.6357;89.4145;87.2336;86.3105;84.7972;83.4108;83.3545;81.6955;79.0002;78.4921;78.2978;91.6018;90.478;90.2226;86.8488;86.2219
G;136;98.944;94.9205;95.2953;100;100;100;100;95.3739;97.9653;99.9266;91.7762;100;97.5301;93.0069;93.696;96.1563;100;100;100;97.47915;100;99.3484;100;97.0249;99.57645;98.32245;98.6852;99.7266;96.748;99.98195;99.98215;98.30225;96.3702;99.80135;99.9912;99.98985;97.3909;94.14445;97.04585;97.10845;98.2571;91.44095;97.4645;97.5894;93.9575;98.2642;89.0886;91.98425;90.44625;86.4935;90.6832;91.1963;95.4358;94.2114;97.9542;91.4075;83.4953;84.9214;77.6153;74.2986;71.6589;67.2959;68.794;68.4302;88.2992;86.2538;93.3705;88.1266
G;137;56.4202;56.3411;56.27;55.8726;55.8602;64.0435;63.2934;63.2328;63.122;63.0947;63.0082;62.8301;62.772;62.7933;62.7622;62.6109;62.435;65.8548;65.7055;65.69375;65.57255;65.47155;65.39585;65.3097;65.1543;65.05265;64.9235;64.7866;64.71215;66.99275;66.60705;66.5987;66.48425;66.4664;66.12435;66.0328;64.574;64.5753;64.4623;66.85285;66.81735;65.5763;65.52795;65.48975;65.328;65.19665;64.79425;64.15335;63.64835;63.6394;63.4589;67.6485;67.5294;66.4751;66.3001;66.2058;66.085;65.9625;65.8535;65.1003;63.9812;63.8754;63.8004;68.2456;68.2334;68.1785;67.9732;67.7812
G;138;97.9873;96.8978;96.8373;98.9251;98.8944;98.9583;98.9823;98.9931;98.9253;98.9478;98.9818;99.0022;99.0192;98.9052;98.909;93.3605;93.5739;93.5773;93.5793;93.5763;93.3084;93.1599;93.4142;93.4491;91.99265;90.93085;89.587;89.8619;89.80915;90.1792;88.73345;88.21575;89.44175;88.7929;89.7853;89.6459;87.9536;88.42955;87.7633;93.22965;91.5465;91.99245;92.77695;92.87195;92.7436;92.6422;92.62765;92.638;94.41555;94.526;93.6903;94.1873;94.0307;93.8865;93.834;93.9323;93.9565;93.9658;94.0634;94.1141;93.9311;84.0428;84.6342;89.167;87.8318;88.7015;88.7274;88.6903
G;139;67.0556;64.6426;63.2769;66.7054;65.6986;76.9703;74.2292;75.1986;77.9614;78.8136;76.1093;72.8345;75.2899;73.1272;73.6701;75.7691;75.9921;80.3396;81.4386;80.12065;80.40245;81.763;80.81765;79.0421;81.4064;78.6797;77.2513;86.9013;85.00555;81.2577;81.95195;81.69145;76.7367;87.51225;83.98005;82.24425;77.9635;75.93095;75.29135;81.46195;80.70155;79.0482;82.81975;76.2677;79.396;82.86395;82.53735;85.39955;83.10455;82.9597;81.2153;85.2206;87.8824;87.3108;87.7835;85.0669;82.8636;87.9837;89.2348;88.6071;89.718;86.4922;86.079;83.5196;84.5003;84.1991;83.6047;85.415
G;140;62.5554;55.8834;61.5076;77.8138;77.9102;77.7221;77.2263;76.1753;71.1563;70.1303;70.6351;71.0273;70.2638;68.714;66.6321;77.4838;77.2528;75.8986;74.5771;73.09545;72.24265;71.98095;69.67675;70.39525;69.9535;75.25265;72.9598;85.80115;85.3823;82.16775;80.44965;78.50625;77.86245;77.6276;75.3357;74.6515;75.18985;75.0474;73.95805;87.3983;86.96;85.86965;84.6928;82.34025;82.2135;81.9123;80.32035;81.31575;76.76395;76.31;78.3605;89.4345;90.2671;89.9279;84.7359;83.0965;81.9141;80.1931;79.3335;76.1665;77.4862;76.6726;77.1246;91.8986;91.2213;90.9442;90.2903;88.2114
G;141;91.8962;96.3645;96.3493;96.3457;96.2587;96.1017;96.0496;96.0596;94.8464;94.6324;94.6596;96.0595;96.0167;96.0024;95.9925;95.8167;95.8296;95.8247;94.8716;95.6922;95.97545;95.96935;95.57735;95.22235;76.13515;75.77725;75.0466;75.18415;75.17675;74.9932;74.82535;74.3058;74.3904;75.04005;75.0167;75.0348;77.47585;76.46985;76.62775;77.08025;77.2537;77.29015;77.2457;77.26635;77.30755;77.3145;76.7507;76.8482;76.8524;76.0254;75.1855;76.6702;76.4771;75.9961;76.4448;76.9185;76.3175;73.8612;74.7049;77.0416;78.4072;78.27;70.4399;69.2444;69.4181;69.1263;62.0213;62.1873
G;142;83.8622;77.9424;78.0269;78.0775;82.2722;81.8441;81.8885;81.9908;82.0888;82.2817;82.4906;82.5414;82.4066;80.3302;80.4779;82.9547;83.06;82.927;83.0003;82.99145;82.88165;82.05975;82.13495;82.06355;81.3652;80.23375;80.1947;82.9983;83.0346;82.69235;82.1576;81.67465;80.86475;80.67515;80.5507;80.27535;81.05245;81.26565;81.3135;82.5045;82.4452;82.1505;82.33155;82.1894;82.47815;82.0186;82.24745;82.0595;81.8186;80.9656;80.901;82.3087;82.3901;82.4019;82.3079;82.3593;82.3687;82.3949;82.3191;82.2779;82.0398;81.6705;80.81;80.5024;79.8144;79.026;79.127;79.682
G;143;51.9349;45.4005;45.0845;46.2571;59.3738;59.3098;59.9454;59.6149;60.5211;59.5315;56.175;56.2479;55.9092;55.1495;55.3768;61.7136;61.1941;60.2452;58.381;58.22825;58.46;58.3933;57.3954;57.42415;57.566;57.4218;56.7652;64.6479;63.92265;64.2415;64.46015;64.2848;63.1712;63.1584;63.07155;61.0636;60.29085;60.5613;60.2615;67.30985;66.3367;66.6631;65.8079;66.09305;65.6995;65.10065;65.05545;65.2653;63.6166;63.4632;64.1244;68.7794;68.7956;68.5395;67.6199;68.4753;70.9878;70.7294;70.7479;70.9726;71.3088;71.0526;71.1281;69.9706;69.5653;69.2514;69.1084;66.9785
G;144;63.0946;62.019;62.6565;62.6014;61.7557;70.2415;70.4564;63.4285;61.5959;60.4907;61.7453;65.8504;66.5863;64.1995;65.0314;65.2576;64.3661;66.126;68.5036;67.5332;66.23645;66.93145;69.1616;69.66195;70.91175;69.46245;70.0367;70.6892;69.64595;72.52115;69.5513;69.4485;75.03505;73.76935;69.35865;68.2794;67.81375;60.3886;60.1687;59.51135;59.6494;61.9002;70.31525;68.6684;69.14205;68.1535;69.1126;67.1836;67.9072;66.8427;67.0884;67.0407;68.3432;66.3814;69.2173;73.0487;70.0551;70.1059;70.6628;68.681;66.2482;66.9976;67.1332;66.8426;65.8891;63.3085;62.5293;62.368
G;145;71.3567;70.8182;70.3653;70.231;70.2831;69.5447;68.5441;67.8919;68.5477;68.2422;83.4048;100;100;96.8004;100;100;100;100;100;100;98.3668;98.546;97.72195;100;94.47315;94.519;96.40815;96.4736;96.55025;96.4323;100;100;100;100;100;100;97.5697;97.0257;98.1545;98.14885;100;100;100;100;100;100;100;100;97.68685;96.9845;100;100;100;100;100;100;100;100;100;100;100;99.986;98.8498;95.9335;96.3926;96.8836;98.1562;99.7151
G;146;74.9639;72.9741;73.6192;85.8219;85.771;84.1357;84.664;85.8119;83.2384;82.7301;81.4812;82.4123;80.7837;78.9274;79.0619;87.3962;86.9993;84.8821;85.0579;85.04105;84.24515;82.07925;81.22285;80.77865;80.73525;79.23585;78.5767;88.5486;86.8239;85.75955;85.1712;84.328;84.8877;86.56;82.97955;83.546;84.59825;83.22405;80.57575;88.7389;87.5416;87.3579;86.99905;85.8975;85.6048;83.92;84.5239;81.36105;84.03895;83.5664;82.1836;90.2045;89.0096;88.4779;87.5935;87.0173;87.6373;88.6258;87.4312;89.6109;87.6305;86.9276;85.7742;90.3009;89.5265;88.7952;89.0108;89.6167
G;147;93.5999;87.9402;87.769;88.2407;88.2706;88.2628;93.5043;93.5879;93.4454;93.5377;93.5359;93.3336;92.811;88.6404;89.5117;90.0468;89.7717;92.3649;92.6121;61.141;58.1447;55.1051;49.6331;52.2012;53.9947;51.2024;50.84315;52.1987;51.5313;49.5534;50.0969;50.01345;50.9412;49.7404;48.5755;50.71305;36.85755;36.953;36.991;36.559;36.24975;72.9343;72.31675;71.825;61.8866;61.21185;61.25185;60.6147;60.08355;60.2797;56.9212;60.1516;60.2568;63.8637;63.4652;61.8581;61.7953;62.5051;61.4884;60.0066;61.6587;61.3944;55.8239;56.5928;55.609;55.2917;54.1824;53.527
G;148;69.5716;66.9257;67.8167;68.1494;64.705;89.9695;89.837;89.0273;89.1433;89.1175;83.9352;84.4501;82.8059;70.8225;61.2023;60.9653;48.4967;58.8379;58.7898;50.32065;50.3548;50.3184;50.2938;49.4093;51.72065;51.9257;51.48995;58.64285;57.3208;56.74525;56.0182;74.55565;74.546;78.08075;78.27765;78.14645;74.00325;73.32005;72.65025;71.42365;70.60395;75.34155;75.8222;75.15105;74.5397;75.11415;74.99695;74.8687;73.8541;73.7279;73.1929;73.4334;73.3211;77.7844;77.8289;79.7225;78.2643;78.4132;78.8143;77.8548;77.4963;77.7251;72.3921;69.7713;70.26;70.6507;74.445;73.6081
G;149;59.5243;59.6058;59.4795;59.0295;61.7649;61.3939;61.1101;61.0724;61.6786;61.12;61.1041;60.4611;61.4559;61.4157;60.5466;61.0283;64.4096;64.4858;64.7583;63.9643;65.05055;64.9561;64.75695;63.44845;62.7775;62.8327;63.4288;63.18145;65.2631;66.60795;65.4131;66.12245;66.1157;65.69665;64.7973;64.67795;64.92945;64.9494;64.93405;65.1388;66.2445;66.6299;66.39235;66.2507;66.51755;66.37335;65.7019;65.8925;65.8413;65.8368;65.8001;65.7066;68.3794;68.2397;68.2452;68.0414;68.0207;68.2305;68.1768;68.0556;68.0359;68.3347;68.1373;68.2882;68.9755;68.507;68.5685;68.2423
G;150;59.3192;58.0752;57.409;61.5528;64.2904;88.4288;77.7888;77.338;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96.6525;93.54895;90.5176;89.9606;87.30665;84.39515;83.85335;97.11935;94.7748;97.7361;99.91725;99.9185;78.7976;75.57965;75.26875;99.9099;99.9113;99.9101;99.91105;99.90875;99.9111;99.9124;99.91435;99.91525;98.1542;93.5876;93.6045;98.2363;98.2144;98.2943;98.345;95.9781;87.3859;83.9318;81.2701;79.9666;79.4595;77.0742;73.4461;81.7449;99.1662;95.7045;92.3608
G;151;97.4769;97.2239;97.7448;98.8459;98.5322;98.1775;97.4703;96.8528;96.6322;96.0884;95.3052;94.1746;93.3413;96.8104;96.0725;98.34;96.8986;97.3423;96.7825;96.39875;96.1987;95.9547;95.62265;95.3315;95.0508;94.7129;94.5652;94.51365;99.1454;99.07835;98.7554;98.45245;98.0353;97.84635;97.3667;97.2224;97.0224;97.35565;96.43965;98.7035;99.427;99.1932;99.0256;99.18685;98.91505;98.88685;98.8813;98.09255;97.976;97.829;97.4879;97.4085;99.0161;98.8143;98.693;98.446;98.226;98.6637;98.464;98.7833;98.0193;98.2552;98.2724;100;100;100;100;100
G;152;84.7418;84.0196;84.014;83.7536;83.8565;83.8274;83.9048;84.214;84.0198;83.4684;83.4142;83.6395;83.9374;78.3386;76.1032;76.9662;70.9478;67.2365;69.7534;69.8652;66.60405;69.4242;66.2718;60.98385;56.69505;64.7113;61.3463;63.66545;61.50345;57.86405;77.32905;76.35825;73.11845;70.3605;64.7524;71.92355;61.00975;65.385;63.06925;69.79775;65.6929;62.2426;59.9381;69.98935;67.0278;63.69195;63.38505;79.13675;75.1967;80.1074;77.9514;75.9181;79.505;77.0574;74.5034;72.9308;69.6283;84.2235;80.6529;78.99;80.2194;79.243;83.2921;78.0527;78.2785;77.2156;86.1139;84.2436
G;153;52.3149;43.069;51.8647;51.8062;51.7095;61.3773;60.6712;60.9593;60.7622;60.4713;58.3144;58.0248;57.6221;51.6111;51.7404;52.1122;48.8858;49.2098;57.3868;57.9974;58.2886;58.42105;58.96895;59.1924;58.7869;58.78245;68.57525;71.1819;71.5202;71.4637;70.9855;71.50725;71.90405;72.3708;72.8479;71.6412;72.34255;70.84965;70.67755;70.1826;70.58795;70.6947;70.0101;69.7342;69.91315;69.83975;69.7347;69.25765;71.7724;72.3628;71.5962;71.7371;79.1207;79.3499;79.6014;79.2248;78.6926;78.5589;79.9318;79.5975;79.4039;79.8625;79.7972;79.8641;81.9028;81.6928;80.3756;88.5768
G;154;99.9284;91.3602;99.9403;98.7761;99.0319;98.5307;96.2252;95.5386;92.9283;90.9016;90.6138;90.1727;89.2584;87.703;88.1644;99.7061;98.7324;97.8797;96.9673;93.73455;93.27155;92.61075;91.20905;91.16825;91.01465;89.96755;88.957;98.1465;95.58625;95.1707;94.9175;94.9795;93.28285;92.58705;91.3909;91.55245;89.22395;88.9319;88.6008;96.7016;99.97565;83.05235;82.82935;82.74995;81.64775;81.5902;81.88005;82.43865;82.8757;78.3083;82.6017;82.5866;82.297;82.3123;82.2331;83.0111;83.4055;83.2212;83.6442;83.7767;84.3419;84.0749;85.5356;85.6494;86.0466;86.422;86.4133;86.471
G;155;99.7937;87.799;89.2104;85.6964;83.4786;82.6758;94.0654;89.2486;88.6654;85.2495;81.5977;81.5367;79.7144;76.1687;76.6064;76.2875;74.5725;72.9059;92.7293;90.9515;90.98675;86.86715;87.80325;86.92925;82.84845;80.28505;79.5828;77.7173;75.7967;75.1894;90.79535;89.3986;85.7851;82.71365;81.42465;79.7599;75.20075;72.94895;72.06655;69.68525;70.23425;70.91215;93.2905;89.0351;86.01265;83.4857;83.28685;82.6561;78.738;76.8139;76.4438;72.925;71.1457;70.409;89.761;86.1351;83.5078;80.6358;84.3071;82.4646;78.2811;76.8131;78.0524;76.5302;72.9123;89.9053;89.7738;89.9328
G;156;64.401;65.9547;66.4962;66.5642;66.4375;71.021;69.2421;69.9285;70.7666;70.2763;68.2448;70.2117;68.1672;70.0134;69.7758;70.0151;75.4886;75.5933;75.6081;75.4077;75.37765;75.56905;74.8974;73.42285;72.0217;74.7136;74.7057;75.3292;79.50495;100;99.4362;97.90465;97.1581;97.01255;96.162;96.6026;96.86145;95.9322;96.0506;96.03435;100;100;100;99.6144;100;100;100;100;100;99.9624;99.9623;99.9623;100;100;100;100;100;100;100;98.5495;99.5636;99.4742;99.3806;99.3476;99.3415;99.0589;99.8052;99.5248
G;157;81.5198;80.5662;80.7463;81.4508;81.2385;81.7594;81.4487;80.9377;80.7981;81.1968;81.2806;81.1112;80.517;80.5926;81.0061;81.5951;82.0174;81.2503;81.493;81.3632;81.8399;81.6562;80.941;81.2602;81.6139;80.50495;79.37925;81.37515;81.6256;80.9039;81.76105;82.12015;75.5367;82.90915;82.77745;82.81905;81.11545;78.1372;77.8157;82.9179;82.0515;81.4741;81.60265;81.46765;81.2795;82.2879;82.8741;82.17405;82.3899;78.937;81.9403;81.7134;82.0688;82.3939;82.6106;82.7437;82.1983;82.4613;82.5935;81.6525;80.8553;75.2842;77.2742;78.3824;78.6285;78.2976;78.5328;77.1656
G;158;72.3638;41.5607;42.2151;45.8313;48.3841;58.5638;59.8143;59.8605;62.7319;64.8923;71.4622;68.4639;57.6765;57.3734;57.8522;60.3933;83.299;83.7191;83.8374;84.68685;82.5887;82.1115;79.7053;76.8387;62.359;48.6136;54.52785;88.8016;88.8936;89.0188;89.0526;89.2396;89.3242;89.4631;89.55645;71.79355;68.7564;70.3943;69.95605;88.98415;89.3901;89.91535;89.9832;88.82125;88.5272;89.2974;89.1988;89.66955;90.8211;88.0357;90.0169;90.5281;89.8817;89.9584;90.2578;85.9388;85.0082;85.7831;85.6853;78.881;79.0255;75.9462;75.7208;74.0417;75.0264;76.4145;76.8961;76.3917
G;159;81.8354;80.5908;80.6159;80.6874;80.6935;95.4639;95.4799;93.8033;93.4048;91.3171;89.75;89.6195;87.6004;87.9349;87.8829;86.1691;85.7144;93.2368;90.9539;90.5116;89.3801;88.75895;87.4897;87.279;85.68795;86.0155;85.45835;90.9196;89.0461;88.45615;87.8115;86.38615;85.3968;83.08745;81.57035;81.20365;79.46375;80.07555;78.0248;92.48095;92.4078;91.75015;90.58925;90.81975;92.673;91.98865;92.16075;90.76205;89.2146;83.5445;83.3456;94.596;94.6964;94.748;93.6332;93.6456;94.4329;92.8562;91.759;91.0903;90.2664;88.9604;88.8111;96.694;97.3237;96.5341;95.3763;94.4884
G;160;100;92.1087;92.5106;91.9707;91.8536;91.6132;91.7749;100;100;100;100;100;100;90.7584;92.3695;93.2442;92.9489;93.1195;100;100;98.05295;94.06465;94.2493;94.06725;94.5726;91.08465;93.9273;94.01935;94.0878;94.078;100;97.69965;95.6066;90.61135;86.59955;82.49655;80.7413;80.39755;80.38675;79.60685;86.75705;86.3414;84.9531;83.7479;82.58435;83.72515;83.46015;83.0914;82.457;81.9013;81.7527;81.6669;97.1432;95.1874;94.0874;90.7722;98.7311;96.8703;94.6288;94.9132;96.9909;97.177;99.5107;99.9954;99.9953;100;100;100
G;161;96.8401;95.8673;96.2074;96.2345;99.6275;97.9541;99.742;99.4421;98.9159;99.7414;99.5214;98.7376;97.2569;91.6976;92.6114;97.4578;96.4351;97.697;97.9713;95.93245;98.02675;98.0189;95.40085;94.10145;93.9312;94.46165;94.68405;94.66605;99.7519;99.7473;99.73315;99.73695;99.75005;99.753;99.75425;99.75575;99.75195;99.73675;97.987;98.63855;93.1873;100;99.66115;99.66075;99.0105;97.43875;95.61665;96.2032;96.26065;96.7942;95.4957;96.2158;95.0147;99.7274;99.7325;99.728;99.731;99.7287;99.7306;99.7263;99.7345;99.6703;99.7887;99.7754;99.7801;99.7806;99.7786;99.7802
G;162;80.0762;76.9575;76.1567;74.1964;84.7024;80.9876;81.1186;78.9748;76.3744;77.735;76.4116;75.8335;83.1832;79.2799;75.9975;77.4968;87.9779;85.3487;86.0874;85.29705;81.74165;83.1911;81.6005;80.2654;82.048;81.1787;80.3428;89.223;86.45355;86.2502;86.68345;85.60665;85.162;85.00345;84.72195;83.8624;85.80205;84.73485;83.2772;84.22815;87.85615;87.5116;85.43805;84.6697;83.73645;85.2003;84.93385;85.3965;85.1616;84.5987;85.6678;86.7591;90.2906;90.4593;91.0372;90.4679;89.3461;88.8984;89.7062;89.1338;90.2582;89.4347;90.2705;90.3859;91.3741;91.3584;91.2736;91.2323
G;163;98.4677;98.6405;98.5896;98.5674;98.5436;98.5736;98.5866;98.6088;98.641;98.7307;98.727;98.7258;98.8261;96.1569;96.7271;96.7889;98.8635;98.8546;98.9208;98.93365;98.86965;98.9997;98.9804;98.9839;99.08845;92.73475;92.08025;93.91095;94.65525;96.0442;96.8819;96.92945;97.08135;98.75245;97.87855;96.9478;97.8933;77.4598;77.1848;83.78605;84.52075;82.71225;82.67295;80.8701;62.3544;53.7189;54.219;59.2581;53.16665;59.985;66.1309;60.0734;59.6975;61.4023;60.7303;62.004;64.5827;65.2954;66.0903;63.3032;63.9517;62.0139;63.2977;74.7389;76.0487;75.6854;76.9889;77.3184
G;164;54.1701;48.2384;48.2802;59.9265;59.9623;59.0679;59.2807;59.6219;59.8435;60.0174;60.0581;60.1875;60.5048;63.9814;63.7174;66.6095;66.5127;66.3364;66.1311;65.93825;65.666;65.4256;65.02545;64.7647;64.3662;64.22795;62.3866;67.3725;67.46135;67.55335;67.6206;67.7857;67.94465;68.05315;68.1375;68.25715;68.5258;68.18735;68.184;68.04415;67.8104;67.49345;67.28795;67.05435;66.25495;66.07455;65.9656;65.9095;64.882;65.4494;65.3777;69.9325;69.7836;73.8241;73.4405;72.1285;71.7838;71.514;71.4142;71.32;69.9993;70.0665;69.6442;73.327;73.4706;73.3552;73.2032;73.1419
G;165;96.4252;96.1901;96.1167;99.8466;99.8522;95.3884;95.5443;99.8365;99.8409;99.8426;99.8452;99.8479;99.849;99.8467;99.8464;99.8459;99.8432;99.8453;99.8341;99.8345;99.83475;99.83795;99.8376;99.83815;99.8392;99.83755;99.83665;99.83345;99.38105;99.09415;99.8366;99.6488;99.8371;99.8368;99.73205;99.7162;98.58155;98.59525;98.86465;98.28965;98.6138;99.0697;98.8793;97.1019;99.8366;95.11455;92.9789;90.94535;88.4687;88.8555;87.0103;90.0645;90.9177;90.9106;90.829;92.9939;92.2413;90.6656;88.1611;83.6577;89.8531;87.4259;86.3622;97.6912;96.4958;94.7562;92.9004;89.3918
G;166;58.797;58.2296;50.0672;49.9221;48.9103;49.3684;88.3115;88.2594;87.8465;87.6949;86.6779;81.7939;81.8279;80.9757;80.6951;80.7495;83.9193;83.8697;82.902;82.5436;82.94525;83.5974;83.3572;89.5959;89.2723;89.1466;88.3431;89.84315;90.16615;89.45895;89.26105;90.0922;89.9762;85.0463;85.26745;84.33515;77.7899;76.25985;75.4146;76.86935;76.7836;77.20365;76.59275;76.3445;76.79335;76.60845;75.71745;75.284;74.7196;73.8094;73.1589;80.2671;80.7648;80.0137;77.6506;78.3846;77.2675;76.4533;76.1132;75.5588;76.4771;76.031;75.9884;82.8766;83.6069;81.3882;79.9477;79.2471
G;167;69.3789;69.973;70.0105;81.9644;81.996;80.4071;79.8232;79.403;79.0143;78.3266;77.8919;76.6622;76.9647;77.4489;77.0181;84.4346;84.1008;83.4885;82.5075;81.38685;81.0495;80.6964;80.3756;79.52145;79.2469;79.8083;79.5602;86.62475;85.53645;84.6523;83.82385;82.5477;82.46805;81.9508;81.36565;81.25385;81.5077;82.1733;81.34785;87.62985;86.7399;85.4258;84.6001;85.2024;84.98835;83.98005;83.03235;81.90265;80.39815;80.8705;80.3085;94.7924;94.3674;93.1984;92.7404;92.1494;91.1613;90.6785;90.4548;89.7422;88.4651;87.1814;86.3548;93.9568;93.1954;93.7272;93.5473;91.3307
G;168;88.1985;85.0849;85.865;75.0863;76.7867;76.6358;75.5483;75.2314;73.299;73.8654;74.1314;73.5838;72.0737;69.773;69.105;73.1287;74.1766;73.9474;73.7685;75.08335;77.75595;76.4943;75.12225;75.0987;74.0642;76.51385;76.2798;76.33965;75.51375;75.1078;73.68425;72.50995;80.2847;79.3011;77.40275;77.1163;77.15845;77.05895;76.3514;80.8307;78.58565;78.1183;78.27115;78.3352;79.896;80.5065;79.25085;78.49915;77.6344;78.2742;78.6401;81.9422;81.1159;81.0657;81.7115;81.4453;80.5578;79.7961;79.8563;78.9703;78.541;77.3608;75.552;92.6679;92.3842;91.547;91.5358;91.1475
G;169;53.7229;55.2509;55.9111;57.4156;57.603;58.3411;59.0323;59.2778;58.5618;58.4814;58.0256;56.5243;58.5367;30.1193;29.8266;28.3325;28.5078;28.3188;28.232;27.99595;35.90345;35.4225;34.6841;34.24045;83.7221;84.5368;84.0646;83.5777;83.17975;83.20045;82.81275;81.9821;81.50975;81.01905;80.54815;80.2474;80.0939;79.3172;84.28785;83.8035;83.6044;82.86795;82.5597;81.8735;81.95555;81.0305;80.42375;79.61395;79.21545;78.689;85.4108;84.8413;84.6323;84.4796;84.015;83.0361;82.2517;82.5188;83.663;83.5619;83.1172;83.0204;86.1805;85.7257;84.3234;82.903;82.7784;84.253
G;170;77.9894;77.3133;77.9646;86.058;85.9738;85.871;85.7916;85.497;84.726;84.5207;84.5389;64.3675;63.4841;63.8824;63.6885;64.4056;64.4704;64.9998;64.4927;64.2886;62.8562;64.97315;65.4154;65.5723;63.00055;63.11125;62.3075;62.22155;62.26705;67.11845;66.65085;66.19885;65.7035;64.47095;68.1422;66.90995;68.9768;70.2484;69.74765;70.0221;69.6469;69.3523;69.9046;69.58165;69.0103;70.38075;70.6073;70.60945;70.7241;70.4645;70.651;70.394;70.4914;70.4791;70.4577;70.5525;70.5195;69.5883;69.5538;70.4772;69.8976;71.1941;71.2423;71.1699;71.2396;71.2258;71.2049;71.4229
G;171;73.1395;71.6917;70.9448;70.3737;95.1329;94.8004;93.8593;93.0552;90.1674;88.8186;88.4871;87.6552;87.1856;85.8017;84.9691;84.8306;94.5371;93.6814;92.9143;92.43525;92.86375;92.02495;91.17945;91.6884;89.1891;88.2942;87.7835;87.9678;87.6986;95.62925;95.1658;94.7946;93.89335;92.8793;92.7117;91.95425;91.64485;91.44125;91.26435;97.1943;97.41525;96.8528;96.33065;96.2608;95.06105;95.0866;94.3426;94.5434;94.03165;94.0312;94.2941;97.3004;97.0702;97.4754;96.8827;96.9064;96.9737;96.5436;96.3802;96.1058;96.4317;96.2667;95.6255;94.8142;96.6937;96.847;95.3632;95.8343
G;172;83.9561;82.2648;82.4434;81.4999;89.7135;89.4353;88.4806;87.7359;86.8704;86.8295;86.6077;86.5433;86.2707;85.4176;85.4104;85.5149;91.9688;91.7515;91.607;91.33465;90.7152;90.43825;90.0983;89.64825;89.4161;88.6082;87.9691;90.3561;90.0577;89.39465;89.0369;88.5705;87.9137;90.5487;89.4608;88.5228;88.3743;88.10175;84.3627;88.29995;87.90155;87.2879;86.8146;86.5852;86.01645;85.18355;84.6915;83.72505;85.33995;85.0886;85.4011;93.1249;92.9736;92.441;92.4028;92.3175;92.0157;91.8346;84.4755;84.5476;85.2286;79.3518;79.0508;78.9899;78.7552;78.4535;78.3167;78.4083
G;173;84.5371;82.0065;88.1805;88.2858;89.3004;89.0415;88.8641;87.2588;86.8852;86.0886;85.9122;85.7027;86.7001;86.1326;89.4405;89.4542;88.9851;89.0108;89.0611;89.55305;89.6262;89.6281;89.642;89.56345;90.1888;89.9664;91.05395;91.1339;91.1535;91.19425;91.55515;91.57575;91.31105;91.5196;91.5437;91.5654;89.79195;88.88805;88.78135;88.6751;89.21515;89.32935;88.90035;89.1254;88.66205;88.22085;87.1965;87.1157;85.82305;85.5614;89.0799;89.0614;88.9309;88.7351;88.6;88.4127;88.1878;87.9696;87.5061;87.2448;86.7468;87.268;90.3945;90.3548;90.5175;90.4126;90.5242;90.4975
G;174;86.2487;84.9408;84.1925;84.9699;89.6242;89.6875;89.6972;89.5199;89.1176;89.6633;88.5392;89.2615;89.693;88.6665;88.6909;89.6914;88.966;89.2182;89.735;85.4853;87.27935;86.766;86.13155;85.68475;84.6812;84.77365;83.90385;88.0531;88.2152;88.10335;88.1264;87.2534;85.83915;88.60475;85.73745;84.9853;86.4591;86.3634;85.4776;88.7129;88.3686;87.17905;86.2656;85.84725;86.2017;85.99795;84.94575;84.9596;85.6197;86.0935;84.9098;89.8191;89.7651;89.9992;89.0729;88.2118;86.6415;86.1816;84.9599;85.184;84.3723;84.8368;84.5286;92.2485;92.3509;92.4168;91.2228;91.8505
